frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
74,000074.png,left,rejected_side_geometry,tracking,1491,0.150289,0,0,0,170.706568,-6.11102877294,1369.80792246,,,,,6
74,000074.png,right,ok,tracking,2453,0.664740,2453,2453,25,20.518697,2.67196315392,-160.987357727,0.351496,0.453922,-1.170087,-0.596869,0
74,000074.png,center,not_published,from_left_right,,,0,,,,
75,000075.png,left,ok,init,4607,0.497110,4607,4607,25,153.778700,-2.03036262546,582.00902139,0.205099,0.335745,-0.551481,-0.371490,0
75,000075.png,right,ok,tracking,2485,0.664740,2485,2485,25,20.546330,2.66804264245,-160.485065485,0.351496,0.453922,-1.170087,-0.596869,0
75,000075.png,center,ok,from_left_right,,,25,,,,
76,000076.png,left,rejected_side_geometry,tracking,1156,0.121387,0,0,0,167.532525,-4.52285750656,1062.86255762,,,,,6
76,000076.png,right,ok,tracking,2445,0.664740,2445,2445,25,20.548959,2.66767016884,-160.870095333,0.351496,0.453922,-1.170087,-0.596869,0
76,000076.png,center,not_published,from_left_right,,,0,,,,
77,000077.png,left,ok,init,4606,0.497110,4606,4606,25,154.077939,-2.05740229461,588.758415312,0.205099,0.338640,-0.557700,-0.371490,0
77,000077.png,right,ok,tracking,2485,0.664740,2485,2485,25,20.592058,2.66157709109,-159.934300824,0.351111,0.452744,-1.170087,-0.596869,0
